ORDEN,SUBORDEN,FAMILIA,SUBFAMILIA ,TRIBU,ESPECIE,REFERENCIA,ESPECIES ESPERADAS,NOTAS
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,VAMPYRINI,"Chrotopterus auritus (Peters, 1865) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,VAMPYRINI,"Lophostoma brasiliense Peters, 1867 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,VAMPYRINI,"Lophostoma silvicolum d’Orbigny, 1836 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,VAMPYRINI,"Tonatia saurophila Koopman y Williams, 1951 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,VAMPYRINI,"Trachops cirrhosus (Spix, 1823)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,PHYLLOSTOMINAE ,VAMPYRINI,"Vampyrum spectrum (Linnaeus, 1758) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,GLOSSOPHAGINAE ,GLOSSOPHAGINI ,"Anoura cultrata Handley, 1960",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,GLOSSOPHAGINAE ,GLOSSOPHAGINI ,"Anoura geoffroyi Gray, 1838",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,GLOSSOPHAGINAE ,GLOSSOPHAGINI ,"Choeroniscus godmani (Thomas, 1903)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,GLOSSOPHAGINAE ,GLOSSOPHAGINI ,"Glossophaga commissarisi Gardner, 1962",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,GLOSSOPHAGINAE ,GLOSSOPHAGINI ," Glossophaga leachii (Gray, 1844)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,GLOSSOPHAGINAE ,GLOSSOPHAGINI ," Glossophaga soricina (Pallas, 1766) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,GLOSSOPHAGINAE ,GLOSSOPHAGINI ,"Hylonycteris underwoodi Thomas, 1903",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,GLOSSOPHAGINAE ,GLOSSOPHAGINI ," Lichonycteris obscura Thomas, 1895 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,LONCHOPHYLLINAE,LONCHOPHYLLINI ,"Lonchophylla concava Goldman, 1914",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,LONCHOPHYLLINAE,LONCHOPHYLLINI ,"Lonchophylla robusta Miller, 1912",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,CAROLLINAE ,NA/ND,"Carollia castanea H. Allen, 1890",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,CAROLLINAE ,NA/ND,"Carollia perspicillata (Linnaeus, 1758)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,CAROLLINAE ,NA/ND,"Carollia sowelli Baker et al., 2002",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,CAROLLINAE ,NA/ND," Carollia subrufa (Hahn, 1905)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Artibeus jamaicensis Leach, 1821",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Artibeus lituratus (Olfers, 1818)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Centurio senex Gray, 1842",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Chiroderma salvini Dobson, 1878",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Chiroderma trinitatum Goodwin, 1958",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Chiroderma villosum Peters, 1860",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Artibeus azteca K. Andersen, 1906",preguntar a bernal referencia,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ," Artibeus phaeotis Miller, 1902",preguntar a bernal referencia,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Artibeus tolteca (Saussure, 1860)",preguntar a bernal referencia,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Artibeus watsoni (Thomas, 1901)",preguntar a bernal referencia,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Ectophylla alba H. Allen, 1892",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Enchisthenes hartii (Thomas, 1892)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ," Mesophylla macconnelli Thomas, 1901 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Platyrrhinus helleri (Peters, 1866) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Platyrrhinus vittatus (Peters, 1860) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Uroderma convexum Peters, 1866 ",2014,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Vampyressa thyone Thomas, 1909 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Vampyriscus nymphaea (Thomas, 1909) ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STENODERMATINI ,"Vampyrodes major G. Allen, 1908 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STURNIRINI,"Sturnira burtonlimi Velazco y Patterson, 2014*",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STURNIRINI," Sturnira hondurensis Goodwin, 1940",,Especie esperada,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STURNIRINI,"Sturnira luisi Davis, 1980",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STURNIRINI,"Sturnira mordax (Goodwin, 1938)*",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,STENODERMATINAE ,STURNIRINI,"Sturnira parvidens Goldman, 1917 ",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,DESMODONTINAE ,NA/ND,"Desmodus rotundus (E. Geoffroy, 1810)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,DESMODONTINAE ,NA/ND,"Diaemus youngi (Jentink, 1893)",,,
CHIROPTERA ,NA/ND,PHYLLOSTOMIDAE ,DESMODONTINAE ,NA/ND,"Diphylla ecaudata Spix, 1823",,,
CHIROPTERA ,NA/ND,NATALIDAE ,NA/ND,NA/ND,"Natalus lanatus Tejedor, 2005",,,
CHIROPTERA ,NA/ND,NATALIDAE ,NA/ND,NA/ND,"Natalus mexicanus Miller, 1902",,,
CHIROPTERA ,NA/ND,FURIPTERIDAE ,NA/ND,NA/ND,"Furipterus horrens (F. Cuvier, 1828) ",,,
CHIROPTERA ,NA/ND,THYROPTERIDAE ,NA/ND,NA/ND,"Thyroptera discifera (Lichtenstein y Peters,1855)",,,
CHIROPTERA ,NA/ND,THYROPTERIDAE ,NA/ND,NA/ND,"Thyroptera tricolor Spix, 1823",,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,EPTESICINI ,"Eptesicus brasiliensis (Desmarest, 1819)",,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,EPTESICINI ,"Eptesicus chiriquinus Simmons y Voss, 1998",,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,EPTESICINI ," Eptesicus furinalis (d’Orbigny y Gervais, 1847)",,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,EPTESICINI ,"Eptesicus fuscus (Palisot de Beauvois, 1796)",,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,LASIURINI ,"Lasiurus frantzii (Lesson, 1826) ",Baird et al 2015,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,LASIURINI ,"Lasiurus castaneus Handley, 1960*",,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,LASIURINI ,"Dasypterus ega (Gervais, 1856)",Baird et al 2015,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,LASIURINI ,"Dasypterus intermedius H. Allen, 1862",Baird et al 2015,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,NYCTICEIINI ,"Rhogeessa bickhami Baird et al., 2012 ",,,
CHIROPTERA ,NA/ND,VESPERTILIONIDAE ,VESPERTILIONINAE ,NYCTICEIINI ,"Rhogeessa io Thomas, 1903",,,
CHIROPTERA ,NA/ND,MYOTINAE ,NA/ND,NA/ND,"Myotis albescens (E. Geoffoy, 1806)",,,
CHIROPTERA ,NA/ND,MYOTINAE ,NA/ND,NA/ND," Myotis elegans Hall, 1962",,,
CHIROPTERA ,NA/ND,MYOTINAE ,NA/ND,NA/ND,"Myotis pilosatibialis J. A. Allen, 1914 ",mantilla-meluk & Muñoz-Garay 2014,,
CHIROPTERA ,NA/ND,MYOTINAE ,NA/ND,NA/ND,"Myotis nigricans (Schinz, 1821) ",,,
CHIROPTERA ,NA/ND,MYOTINAE ,NA/ND,NA/ND,"Myotis oxyotus (Peters, 1866)",,,
CHIROPTERA ,NA/ND,MYOTINAE ,NA/ND,NA/ND," Myotis riparius Handley, 1960 ",,,
CHIROPTERA ,NA/ND,MYOTINAE ,ANTROZOINAE ,NA/ND,"Bauerus dubiaquercus (Van Gelder, 1959) ",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Cynomops mexicanus (Jones y Genoways, 1967)",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Eumops auripendulus (G. Shaw, 1800)",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Eumops glaucinus (Wagner, 1843)",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Eumops hansae Sanborn, 1932",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Eumops nanus (Miller, 1900)",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Eumops underwoodi Goodwin, 1940",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Molossus bondae J. A. Allen, 1904",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Molossus coibensis J. A. Allen, 1904",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Molossus molossus (Pallas, 1766)",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Molossus pretiosus Miller, 1902",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Molossus rufus E. Geoffroy, 1805",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Molossus sinaloae J. A. Allen, 1906",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Promops centralis Thomas, 1915",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,"Tadarida brasiliensis (I. Geoffroy, 1824)",,,
CHIROPTERA ,NA/ND,MOLOSSIDAE ,MOLOSSINAE ,NA/ND,Nyctinomops laticaudatus,Villalobos et al 2018,,
PRIMATES ,NA/ND,CEBIDAE ,CEBINAE ,NA/ND,"Cebus imitator Thomas, 1903 ",,,
